|location|name|party
0||Victor Quelch|Social Credit
1||Joseph Miville Dechene|Liberal
2||Robert Fair|Social Credit
3||Charles Edward Johnston|Social Credit
4||Douglas Harkness|Progressive Conservative
5||Arthur LeRoy Smith (resigned 5 July 1951)|Progressive Conservative
6||Hilliard Beyerstein|Social Credit
7||Albert Frederick Macdonald|Liberal
8||George Prudham|Liberal
9||John William Welbourn|Liberal
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||William Duncan Wylie|Social Credit
13||Solon Earl Low|Social Credit
14||Frederick Davis Shaw|Social Credit
15||John Decore|Liberal
16||Ray Thomas|Social Credit
17||Tom Goode|Liberal
18||George Matheson Murray|Liberal
19||James Sinclair|Liberal
20||John Lambert Gibson|Independent
21||George Cruickshank|Liberal
22||Edmund Davie Fulton|Progressive Conservative
23||Jim Byrne|Liberal
24||Herbert Wilfred Herridge|C.C.F.
25||George Randolph Pearkes|Progressive Conservative
26||Thomas Reid (until 7 September 1949 Senate appointment)|Liberal
27||Edward Applewhaite|Liberal
28||John Lorne Macdougall|Liberal
29||Ralph Campney|Liberal
30||Angus Macinnis|C.C.F.
31||Howard Charles Green|Progressive Conservative
32||Arthur Laing|Liberal
33||Robert Mayhew|Liberal
34||Owen Lewis Jones|C.C.F.
35||James Ewen Matthews (died 24 November 1950)|Liberal
36||George Dyer Weaver|Liberal
37||William John Ward|Liberal
38||Howard Winkler|Liberal
39||Stuart Garson|Liberal
40||Robert James Wood|Liberal
41||William Gilbert Weir|Liberal-Progressive
42||René Jutras|Liberal
43||William Bryce|C.C.F.
44||James Arthur Ross|Progressive Conservative
45||John Sylvester Aloysius Sinnott|Liberal
46||Fernand Viau|Liberal
47||Alistair McLeod Stewart|C.C.F.
48||Stanley Knowles|C.C.F.
49||Leslie Alexander Mutch|Liberal
50||Ralph Maybank (resigned 30 April 1951)|Liberal
51||Andrew Wesley Stuart|Liberal
52||Clovis-Thomas Richard (until 5 March 1952 emoulment appointment)|Liberal
53||Aurel D. Léger|Liberal
54||George Roy McWilliam|Liberal
55||Benoît Michaud|Liberal
56||Alfred Johnson Brooks|Progressive Conservative
57||Daniel Aloysius Riley|Liberal
58||Heber Harold Hatfield|Progressive Conservative
59||Edmund William George|Liberal
60||Milton Fowler Gregg|Liberal
61||Frederick Gordon Bradley|Liberal
62||Chesley William Carter|Liberal
63||Thomas Gordon William Ashbourne|Liberal
64||William Richard Kent|Liberal
65||Gordon Higgins|Progressive Conservative
66||William Joseph Browne|Progressive Conservative
67||Leonard Stick|Liberal
68||James Aubrey Simmons|Liberal
69||Angus Alexander Elderkin (until election voided 6 March 1950)|Liberal
70||James Ralph Kirk|Liberal
71||Matthew MacLean|Liberal
72||Clarence Gillis|C.C.F.
73||Frank Thomas Stanfield|Progressive Conservative
74||Percy Chapman Black|Progressive Conservative
75||Thomas Andrew Murray Kirk|Liberal
76||John Horace Dickey (until 2 May 1950 Senate appointment)|Liberal
77||William F. Carroll|Liberal
78||Robert Winters|Liberal
79||Henry Byron McCulloch|Liberal
80||Donald Smith|Liberal
81||Lester B. Pearson|Liberal
82||George Ewart Nixon|Liberal
83||William Ross Macdonald|Liberal
84||John Alpheus Charlton|Progressive Conservative
85||Thomas Langton Church (died 7 February 1950)|Progressive Conservative
86||Donald Buchanan Blue|Liberal
